Especie 1,Especie 2,Distancia Manhattan,Distancia Euclídea,Coef. Correlación (Pearson)
Gato,León,0.019231757212624653,0.005744595641891491,0.9987827829483259
Gato,Tigre,0.030276056252739533,0.00905968436811221,0.9980214452808882
León,Tigre,0.02237455161362067,0.006796986717781329,0.9984874527182401
